Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,88.508484,85.220474,4.483098,4.445242,1.485264,-2.119257,0.181889,0.181889
2020-05-11 04:00:00,89.430542,84.738892,4.493462,4.439575,1.465953,-2.014745,0.330515,0.330515
2020-05-12 04:00:00,85.663277,84.379906,4.450424,4.435329,1.452774,-1.993106,0.375172,0.375172
2020-05-13 04:00:00,80.859833,84.4412,4.392717,4.436055,1.449467,-2.037197,0.338906,0.338906
2020-05-14 04:00:00,82.475616,83.084038,4.412503,4.419853,1.438308,-1.944607,0.476087,0.476087
2020-05-15 04:00:00,83.757713,83.27668,4.427928,4.422169,1.426016,-1.878156,0.579835,0.579835
2020-05-18 04:00:00,86.971725,86.262405,4.465583,4.457394,1.419402,-1.861251,0.619215,0.619215
2020-05-19 04:00:00,85.417412,84.318619,4.44755,4.434603,1.409138,-1.801419,0.71486,0.71486
2020-05-20 04:00:00,85.171524,87.041687,4.444667,4.466387,1.406964,-1.839377,0.682446,0.682446
2020-05-21 04:00:00,82.660011,85.614487,4.414736,4.449855,1.4051,-1.837753,0.706319,0.706319
2020-05-22 04:00:00,83.265938,86.605324,4.42204,4.461361,1.404419,-1.843582,0.729894,0.729894
2020-05-26 04:00:00,82.589783,85.962387,4.413886,4.45391,1.403446,-1.836938,0.788295,0.788295
2020-05-27 04:00:00,85.821342,87.353973,4.452268,4.469969,1.401409,-1.811989,0.895077,0.895077
2020-05-28 04:00:00,86.766197,89.555893,4.463217,4.494863,1.401382,-1.835805,0.945314,0.945314
2020-05-29 04:00:00,86.368835,90.524727,4.458627,4.505623,1.401976,-1.858147,1.008364,1.008364
2020-06-01 04:00:00,87.481445,90.674454,4.471427,4.507276,1.402215,-1.848744,1.126338,1.126338
2020-06-02 04:00:00,87.419624,90.938683,4.47072,4.510185,1.402532,-1.85496,1.215852,1.215852
2020-06-03 04:00:00,88.664719,92.268646,4.484862,4.524704,1.402606,-1.861517,1.228747,1.228747
2020-06-04 04:00:00,89.945068,91.793037,4.499199,4.519536,1.402578,-1.839804,1.272375,1.272375
2020-06-05 04:00:00,93.132828,92.066071,4.534027,4.522506,1.402354,-1.808127,1.299158,1.299158
2020-06-08 04:00:00,94.475006,93.387184,4.548335,4.536754,1.402708,-1.815405,1.241925,1.241925
2020-06-09 04:00:00,91.137169,91.881096,4.512366,4.520495,1.402575,-1.827969,1.176666,1.176666
2020-06-10 04:00:00,90.051041,91.370262,4.500377,4.51492,1.402411,-1.831399,1.131766,1.131766
2020-06-11 04:00:00,83.702072,87.43325,4.427264,4.470876,1.402561,-1.843411,1.074157,1.074157
2020-06-12 04:00:00,84.505638,88.454933,4.436818,4.482493,1.403086,-1.852504,1.048415,1.048415
2020-06-15 04:00:00,86.386505,89.027412,4.458831,4.488944,1.402859,-1.838524,1.126771,1.126771
2020-06-16 04:00:00,87.525597,90.066742,4.471931,4.500551,1.402817,-1.841519,1.123597,1.123597
2020-06-17 04:00:00,86.492447,89.115509,4.460057,4.489933,1.402611,-1.837573,1.096494,1.096494
2020-06-18 04:00:00,87.198883,89.353294,4.468192,4.492598,1.402227,-1.831449,1.076317,1.076317
2020-06-19 04:00:00,87.181213,87.829597,4.467989,4.475399,1.400031,-1.797707,1.120354,1.120354
2020-06-22 04:00:00,85.794868,88.181885,4.451959,4.479402,1.399392,-1.816479,1.039357,1.039357
2020-06-23 04:00:00,85.353355,87.054512,4.4468,4.466534,1.397585,-1.795564,1.055197,1.055197
2020-06-24 04:00:00,82.077324,87.16021,4.407662,4.467748,1.397325,-1.835235,0.927345,0.927345
2020-06-25 04:00:00,84.620438,85.49556,4.438176,4.448464,1.39206,-1.754355,1.091191,1.091191
2020-06-26 04:00:00,83.51664,85.839066,4.425046,4.452474,1.388542,-1.757403,1.04917,1.04917
2020-06-29 04:00:00,84.276054,86.649376,4.434098,4.46187,1.38678,-1.753533,1.02747,1.02747
2020-06-30 04:00:00,85.644745,87.706284,4.450208,4.473994,1.384421,-1.743683,1.019784,1.019784
2020-07-01 04:00:00,84.355515,88.683937,4.43504,4.485079,1.383067,-1.768123,0.929961,0.929961
2020-07-02 04:00:00,83.083969,89.115509,4.419852,4.489933,1.382762,-1.788658,0.848913,0.848913
2020-07-06 04:00:00,84.45266,89.168343,4.436191,4.490526,1.381913,-1.769323,0.872163,0.872163
2020-07-07 04:00:00,81.812393,88.137863,4.404429,4.478902,1.382951,-1.789676,0.791967,0.791967
2020-07-08 04:00:00,77.900604,87.530136,4.355434,4.471983,1.387312,-1.848603,0.606089,0.606089
2020-07-09 04:00:00,75.781334,86.041641,4.327852,4.454831,1.392957,-1.877535,0.499528,0.499528
2020-07-10 04:00:00,76.796837,87.274704,4.341163,4.469061,1.396097,-1.898077,0.413197,0.413197
2020-07-13 04:00:00,78.14785,87.803169,4.358603,4.475098,1.39899,-1.902015,0.373529,0.373529
2020-07-14 04:00:00,79.233978,88.454933,4.372405,4.482493,1.401282,-1.90883,0.322453,0.322453
2020-07-15 04:00:00,79.587173,88.639893,4.376853,4.484582,1.403986,-1.919439,0.25713,0.25713
2020-07-16 04:00:00,80.894066,88.560646,4.39314,4.483688,1.406898,-1.914951,0.241809,0.241809
2020-07-17 04:00:00,80.947044,89.009811,4.393795,4.488747,1.409939,-1.935063,0.135623,0.135623
2020-07-20 04:00:00,80.29361,87.908875,4.38569,4.476301,1.411938,-1.934567,0.101161,0.101161
2020-07-21 04:00:00,81.114815,89.969841,4.395866,4.499475,1.41115,-1.953566,-0.018271,-0.018271
2020-07-22 04:00:00,82.580643,91.625671,4.413775,4.517711,1.407852,-1.946495,-0.038001,-0.038001
2020-07-23 04:00:00,83.59613,91.335037,4.425997,4.514534,1.40632,-1.922885,0.014906,0.014906
2020-07-24 04:00:00,83.322388,90.718475,4.422717,4.507761,1.408736,-1.927528,-0.067425,-0.067425
2020-07-27 04:00:00,81.85656,90.339767,4.404968,4.503578,1.405699,-1.925708,-0.127194,-0.127194
2020-07-28 04:00:00,81.476852,92.127708,4.400319,4.523176,1.392049,-1.896164,-0.008876,-0.008876
2020-07-29 04:00:00,83.004517,93.061317,4.418895,4.533259,1.375812,-1.818015,0.539178,0.539178
2020-07-30 04:00:00,81.309105,92.849945,4.398258,4.530985,1.356169,-1.746522,1.272699,1.272699
2020-07-31 04:00:00,83.348877,93.351967,4.423035,4.536377,1.337631,-1.644962,2.446168,2.446168
2020-08-03 04:00:00,84.938324,92.753059,4.441925,4.529941,1.320088,-1.537993,3.535119,3.535119
2020-08-04 04:00:00,84.98246,92.31266,4.442445,4.525181,1.301367,-1.446476,4.084583,4.084583
2020-08-05 04:00:00,83.675591,91.32621,4.426947,4.514438,1.282635,-1.36343,4.166353,4.166353
2020-08-06 04:00:00,83.42836,92.21579,4.423988,4.524131,1.25991,-1.27601,4.140942,4.140942
2020-08-07 04:00:00,85.574104,93.10537,4.449383,4.533732,1.238299,-1.164734,4.182669,4.182669
2020-08-10 04:00:00,85.874321,93.396019,4.452885,4.536849,1.209994,-1.036677,4.156541,4.156541
2020-08-11 04:00:00,85.503456,91.185303,4.448557,4.512894,1.183732,-0.8935,4.102334,4.102334
2020-08-12 04:00:00,84.97364,92.444794,4.442341,4.526612,1.149549,-0.76122,3.963916,3.963916
2020-08-13 04:00:00,85.000137,92.145325,4.442653,4.523367,1.116376,-0.607127,3.875513,3.875513
2020-08-14 04:00:00,84.876511,92.039642,4.441197,4.522219,1.086103,-0.4704,3.72638,3.72638
2020-08-17 04:00:00,84.09063,91.704941,4.431895,4.518576,1.055999,-0.339717,3.575443,3.575443
2020-08-18 04:00:00,83.604958,90.718475,4.426103,4.507761,1.039448,-0.259481,3.345698,3.345698
2020-08-19 04:00:00,83.25174,90.401428,4.421869,4.50426,1.033141,-0.231669,3.069183,3.069183
2020-08-20 04:00:00,84.205414,89.573509,4.433259,4.49506,1.010668,-0.109752,3.011485,3.011485
2020-08-21 04:00:00,83.437172,89.321053,4.424094,4.492237,0.995302,-0.047039,2.858288,2.858288
2020-08-24 04:00:00,83.887527,90.268829,4.429477,4.502792,0.963284,0.092011,2.843629,2.843629
2020-08-25 04:00:00,82.801399,88.966743,4.416445,4.488263,0.94804,0.161391,2.721056,2.721056
2020-08-26 04:00:00,82.130295,87.956993,4.408307,4.476848,0.936693,0.214874,2.594595,2.594595
2020-08-27 04:00:00,83.604683,87.673538,4.4261,4.47362,0.940743,0.217572,2.420928,2.420928
2020-08-28 04:00:00,83.755676,88.204979,4.427904,4.479663,0.939731,0.218223,2.270643,2.270643
2020-08-31 04:00:00,82.601036,88.417572,4.414022,4.482071,0.942526,0.189555,2.104701,2.104701
2020-09-01 04:00:00,82.565529,86.300568,4.413592,4.457836,0.923872,0.295123,2.119343,2.119343
2020-09-02 04:00:00,84.013252,87.186363,4.430975,4.468048,0.922193,0.310573,2.024933,2.024933
2020-09-03 04:00:00,82.903015,86.885185,4.417671,4.464588,0.907829,0.364591,1.983826,1.983826
2020-09-04 04:00:00,83.320473,86.114555,4.422694,4.455678,0.945151,0.211404,1.71764,1.71764
2020-09-08 04:00:00,81.046722,85.140236,4.395026,4.4443,0.999565,-0.04734,1.357785,1.357785
2020-09-09 04:00:00,82.192474,85.609673,4.409064,4.449798,0.974107,0.074485,1.444324,1.444324
2020-09-10 04:00:00,82.263535,83.501526,4.409928,4.424865,0.886329,0.488042,1.834536,1.834536
2020-09-11 04:00:00,83.32933,82.562622,4.422801,4.413557,0.770868,1.020532,2.287467,2.287467
2020-09-14 04:00:00,84.332985,82.660057,4.434773,4.414736,0.651784,1.55732,2.650006,2.650006
2020-09-15 04:00:00,84.235298,81.800858,4.433614,4.404288,0.565867,1.941373,2.788523,2.788523
2020-09-16 04:00:00,85.185661,83.16494,4.444833,4.420826,0.530922,2.097718,2.704377,2.704377
2020-09-17 04:00:00,82.423416,82.748619,4.41187,4.415807,0.508953,2.16443,2.561995,2.561995
2020-09-18 04:00:00,81.073372,81.490852,4.395355,4.400491,0.511301,2.145381,2.379561,2.379561
2020-09-21 04:00:00,81.739502,81.730011,4.403537,4.403421,0.5032,2.187735,2.266388,2.266388
2020-09-22 04:00:00,82.014847,83.014381,4.4069,4.419014,0.471588,2.322946,2.23078,2.23078
2020-09-23 04:00:00,79.598991,82.261459,4.377001,4.409903,0.461,2.344037,2.121456,2.121456
2020-09-24 04:00:00,79.918755,82.899231,4.381011,4.417626,0.4365,2.452718,2.081294,2.081294
2020-09-25 04:00:00,81.073372,84.369614,4.395355,4.435207,0.449411,2.402123,1.943971,1.943971
2020-09-28 04:00:00,82.79644,84.183601,4.416385,4.433,0.444922,2.444044,1.879147,1.879147
2020-09-29 04:00:00,82.991837,84.236732,4.418742,4.433631,0.444503,2.44798,1.796872,1.796872
2020-09-30 04:00:00,83.613564,84.670753,4.426206,4.43877,0.437698,2.483364,1.741168,1.741168
2020-10-01 04:00:00,81.943787,84.564476,4.406033,4.437514,0.440224,2.452533,1.651107,1.651107
2020-10-02 04:00:00,82.61879,85.051636,4.414237,4.443259,0.429069,2.507772,1.619448,1.619448
2020-10-05 04:00:00,83.205002,84.34304,4.421307,4.434892,0.430341,2.512792,1.560872,1.560872
2020-10-06 04:00:00,82.290161,85.901978,4.410252,4.453207,0.427818,2.505087,1.499162,1.499162
2020-10-07 04:00:00,82.858604,85.370514,4.417136,4.447001,0.400975,2.634002,1.521168,1.521168
2020-10-08 04:00:00,83.116188,85.733688,4.420239,4.451246,0.394293,2.665146,1.48564,1.48564
2020-10-09 04:00:00,82.476707,85.48568,4.412516,4.448349,0.395443,2.653449,1.427938,1.427938
2020-10-12 04:00:00,83.720131,85.574242,4.427479,4.449384,0.388503,2.698881,1.407162,1.407162
2020-10-13 04:00:00,81.526344,84.511322,4.400926,4.436886,0.390907,2.666516,1.343083,1.343083
2020-10-14 04:00:00,81.073372,84.183601,4.395355,4.433,0.386342,2.682703,1.311104,1.311104
2020-10-15 04:00:00,81.455276,83.705254,4.400054,4.427302,0.37323,2.747652,1.309965,1.309965
2020-10-16 04:00:00,82.228027,83.696411,4.409496,4.427196,0.358825,2.820907,1.314776,1.314776
2020-10-19 04:00:00,81.197708,83.474983,4.396887,4.424547,0.338817,2.897776,1.323093,1.323093
2020-10-20 04:00:00,80.895729,83.510406,4.393161,4.424971,0.338016,2.89745,1.286398,1.286398
2020-10-21 04:00:00,80.611511,84.62648,4.389641,4.438247,0.343458,2.86529,1.232521,1.232521
2020-10-22 04:00:00,81.437508,85.600815,4.399836,4.449695,0.343881,2.869671,1.203117,1.203117
2020-10-23 04:00:00,81.046722,86.530861,4.395026,4.460501,0.338631,2.884564,1.181806,1.181806
2020-10-26 04:00:00,80.664803,86.344887,4.390302,4.45835,0.357212,2.797726,1.095741,1.095741
2020-10-27 04:00:00,79.083824,85.981697,4.370508,4.454134,0.378654,2.683934,0.992383,0.992383
2020-10-28 04:00:00,78.160126,82.102013,4.35876,4.407963,0.406044,2.568932,0.887996,0.887996
2020-10-29 04:00:00,78.684143,81.561707,4.365442,4.40136,0.434249,2.454154,0.782729,0.782729
2020-10-30 04:00:00,78.826263,81.198547,4.367246,4.396897,0.453357,2.373883,0.700433,0.700433
2020-11-02 05:00:00,80.735847,84.599915,4.391183,4.437933,0.453661,2.377865,0.678972,0.678972
2020-11-03 05:00:00,82.529991,86.47773,4.413162,4.459887,0.457962,2.370703,0.64898,0.64898
2020-11-04 05:00:00,81.748383,84.670753,4.403646,4.43877,0.46694,2.331005,0.592881,0.592881
2020-11-05 05:00:00,80.300644,84.165871,4.385778,4.43279,0.475166,2.279469,0.525741,0.525741
2020-11-06 05:00:00,80.957909,82.94352,4.393929,4.41816,0.485203,2.250226,0.475478,0.475478
2020-11-09 05:00:00,83.391525,86.619446,4.423547,4.461524,0.485488,2.257532,0.455725,0.455725
2020-11-10 05:00:00,83.880035,90.747147,4.429388,4.508077,0.483909,2.247888,0.42092,0.42092
2020-11-11 05:00:00,83.817848,89.232475,4.428646,4.491245,0.484017,2.254805,0.400683,0.400683
