Pair,Ticker1,Ticker2,p_value,n,q_value,rank
EMR-PWR,EMR,PWR,0.12586655077883752,404,0.2506147638028114,3901
PAYX-SNA,PAYX,SNA,0.1258719022214661,404,0.2506147638028114,3902
NCLH-PYPL,NCLH,PYPL,0.1260385628128009,404,0.2507906175417916,3903
MAA-PNW,MAA,PNW,0.12604388045331444,404,0.2507906175417916,3904
GNRC-HPE,GNRC,HPE,0.12605706802686267,404,0.2507906175417916,3905
CME-VRSN,CME,VRSN,0.1261075320811011,404,0.2508267835990974,3906
RL-SCHW,RL,SCHW,0.1261980612723173,404,0.2509228196388906,3907
IBM-T,IBM,T,0.12622041178385696,404,0.2509228196388906,3908
COIN-SCHW,COIN,SCHW,0.12627331339472125,404,0.2509637686783293,3909
DRI-IBM,DRI,IBM,0.12642421427224676,404,0.25119941705398596,3910
CTVA-GE,CTVA,GE,0.1264724287641389,404,0.25123096370968934,3911
AAPL-AVB,AAPL,AVB,0.12651666796720556,404,0.2512545995493916,3912
BBY-IFF,BBY,IFF,0.12655677691065603,404,0.25127002295397055,3913
ISRG-TYL,ISRG,TYL,0.12675088937561385,404,0.25154917012233224,3914
LII-PKG,LII,PKG,0.12676326207072675,404,0.25154917012233224,3915
SHW-SPG,SHW,SPG,0.12681945698176805,404,0.25154917012233224,3916
ADBE-LYB,ADBE,LYB,0.12682688883629495,404,0.25154917012233224,3917
AON-APTV,AON,APTV,0.12690769538739183,404,0.2515658796831095,3918
AXON-WMT,AXON,WMT,0.12692671382325987,404,0.2515658796831095,3919
ALGN-COP,ALGN,COP,0.12693725845889264,404,0.2515658796831095,3920
ES-PNW,ES,PNW,0.1269737931415083,404,0.2515658796831095,3921
PCG-UNH,PCG,UNH,0.12701200598271217,404,0.2515658796831095,3922
FITB-IP,FITB,IP,0.12706711710641105,403,0.2515658796831095,3923
ROL-WELL,ROL,WELL,0.1270795406901089,404,0.2515658796831095,3924
APO-RJF,APO,RJF,0.12709435934563068,404,0.2515658796831095,3925
CMS-WEC,CMS,WEC,0.12724813282277914,404,0.25180609880289634,3926
AES-MCHP,AES,MCHP,0.1273962434706758,404,0.2518670558544039,3927
GEN-KMI,GEN,KMI,0.12739758166400633,403,0.2518670558544039,3928
TJX-WMB,TJX,WMB,0.12739797336913133,404,0.2518670558544039,3929
KIM-PYPL,KIM,PYPL,0.12740861494501315,404,0.2518670558544039,3930
AWK-FE,AWK,FE,0.12752276689026482,403,0.25202762246178406,3931
HAL-IPG,HAL,IPG,0.12755471894963766,404,0.25202762246178406,3932
NVR-PHM,NVR,PHM,0.127651430384275,404,0.25215457987679446,3933
AEE-ETR,AEE,ETR,0.1277206572710608,403,0.2522271953072881,3934
ARE-SLB,ARE,SLB,0.1278386482735881,404,0.25237208854424603,3935
BXP-LMT,BXP,LMT,0.1278589960754476,404,0.25237208854424603,3936
AVB-FIS,AVB,FIS,0.12803662813881034,404,0.2526585125756712,3937
NTRS-TDY,NTRS,TDY,0.12820402948164444,404,0.25288760356839246,3938
EXR-VLTO,EXR,VLTO,0.12825915552198724,404,0.25288760356839246,3939
DOV-MET,DOV,MET,0.1282749900098773,404,0.25288760356839246,3940
HD-SPG,HD,SPG,0.1282829251722274,404,0.25288760356839246,3941
DASH-PLTR,DASH,PLTR,0.12840504049154727,404,0.253064119629333,3942
FFIV-MRK,FFIV,MRK,0.12847467322700162,404,0.2531371382958599,3943
PH-TRMB,PH,TRMB,0.12850806039017915,404,0.2531387224065167,3944
AKAM-WST,AKAM,WST,0.12855649673992559,404,0.2531699425025303,3945
AIZ-HBAN,AIZ,HBAN,0.1286514658820283,404,0.2532927618949513,3946
CINF-KVUE,CINF,KVUE,0.1286877793099926,404,0.2533000652291189,3947
IEX-IPG,IEX,IPG,0.12881391823540628,404,0.25336659356075064,3948
CFG-CMI,CFG,CMI,0.12883647823593614,404,0.25336659356075064,3949
AES-STZ,AES,STZ,0.1288442151645186,404,0.25336659356075064,3950
DD-GNRC,DD,GNRC,0.12889649991995022,404,0.25336659356075064,3951
EQR-ESS,EQR,ESS,0.12897017155802298,403,0.25336659356075064,3952
DVA-TRGP,DVA,TRGP,0.1289817763270646,404,0.25336659356075064,3953
ENPH-EQT,ENPH,EQT,0.1290004497761853,403,0.25336659356075064,3954
ESS-PEG,ESS,PEG,0.1290308842856091,404,0.25336659356075064,3955
ADBE-DOW,ADBE,DOW,0.12904725940658873,404,0.25336659356075064,3956
IQV-TXT,IQV,TXT,0.12905754590885465,404,0.25336659356075064,3957
BG-MRNA,BG,MRNA,0.1290803162972649,404,0.25336659356075064,3958
AOS-REGN,AOS,REGN,0.12919933849382798,404,0.253514983336896,3959
GE-MO,GE,MO,0.1292211782744379,404,0.253514983336896,3960
ADBE-ENPH,ADBE,ENPH,0.12936957920803877,404,0.25368939455522505,3961
NDSN-TGT,NDSN,TGT,0.12940207352320948,404,0.25368939455522505,3962
DRI-GEV,DRI,GEV,0.12943439247356398,345,0.25368939455522505,3963
NFLX-NRG,NFLX,NRG,0.12944069507232747,404,0.25368939455522505,3964
A-UPS,A,UPS,0.12951807581777858,404,0.2537508470019118,3965
RSG-WM,RSG,WM,0.12954841165297282,404,0.2537508470019118,3966
GLW-NDAQ,GLW,NDAQ,0.12958479324329614,403,0.2537508470019118,3967
EMN-RVTY,EMN,RVTY,0.1296245536687708,404,0.2537508470019118,3968
CMS-MO,CMS,MO,0.12964941634996574,404,0.2537508470019118,3969
FRT-NTAP,FRT,NTAP,0.12966802195875787,404,0.2537508470019118,3970
KEY-PKG,KEY,PKG,0.12974887032096388,404,0.25375641131245075,3971
GEV-MS,GEV,MS,0.12975983848510653,345,0.25375641131245075,3972
BLK-GLW,BLK,GLW,0.12976885341026734,403,0.25375641131245075,3973
DHI-MHK,DHI,MHK,0.12982296319687792,404,0.2537983394757284,3974
BK-WELL,BK,WELL,0.1298730692022313,404,0.2538145877053497,3975
BAX-SLB,BAX,SLB,0.1298966148431549,404,0.2538145877053497,3976
KMI-NUE,KMI,NUE,0.12995482819574217,404,0.25386448585685717,3977
PSX-SLB,PSX,SLB,0.12999822553117407,403,0.25388542336643827,3978
CCL-RJF,CCL,RJF,0.13012021958785058,404,0.2540503181319446,3979
CAG-ENPH,CAG,ENPH,0.13019783993932627,404,0.2540503181319446,3980
BG-FANG,BG,FANG,0.13019919938261515,404,0.2540503181319446,3981
CAG-CRWD,CAG,CRWD,0.13021345949303686,404,0.2540503181319446,3982
PLTR-WRB,PLTR,WRB,0.1303173367509542,404,0.25408798506390606,3983
COO-TECH,COO,TECH,0.1303260454138716,404,0.25408798506390606,3984
GS-HLT,GS,HLT,0.1303549203528374,403,0.25408798506390606,3985
VST-WMT,VST,WMT,0.1303666159170106,404,0.25408798506390606,3986
NFLX-SCHW,NFLX,SCHW,0.13039629250222595,404,0.25408798506390606,3987
NFLX-WFC,NFLX,WFC,0.1304308773249901,404,0.2540916464237332,3988
NTAP-TTD,NTAP,TTD,0.13048856940111392,404,0.25413468402462563,3989
LEN-SWK,LEN,SWK,0.1305183922330102,403,0.25413468402462563,3990
BKNG-WFC,BKNG,WFC,0.13060872882010227,404,0.2542379872300893,3991
AMZN-MAR,AMZN,MAR,0.13063689599980904,403,0.2542379872300893,3992
IPG-OMC,IPG,OMC,0.13074998655809106,404,0.25432989366245706,3993
AXP-UAL,AXP,UAL,0.13078495736390117,404,0.25432989366245706,3994
AEE-BSX,AEE,BSX,0.13080735287937928,403,0.25432989366245706,3995
CME-GILD,CME,GILD,0.1308150669423579,404,0.25432989366245706,3996
CPB-OMC,CPB,OMC,0.13098821879610917,404,0.2546028200717969,3997
ARE-REGN,ARE,REGN,0.1311948506193643,404,0.2549406689499353,3998
MTB-PEG,MTB,PEG,0.13129021883137593,404,0.2550283143502094,3999
NTAP-TER,NTAP,TER,0.13130560656465923,404,0.2550283143502094,4000
